,est,ano,mes,dia,hora,temp,umid_inst,pto_orvalho_inst,pressao,vento_vel,vento_direcao,precipitacao
0,A848,2020,6,30,0,15.4,85,13.0,920.1,8.7,122,0.0
0,A828,2020,6,30,0,11.8,97,11.2,924.4,2.3,103,0.4
0,A806,2020,6,30,0,16.1,91,14.7,1018.7,0.3,275,0.0
0,A835,2020,6,30,0,18.7,74,14.0,952.3,2.8,208,0.0
0,B804,2020,6,30,0,15.4,86,13.2,920.2,1.7,67,0.0
0,A853,2020,6,30,0,13.0,93,11.9,961.2,10.5,58,13.4
0,A886,2020,6,30,0,12.4,98,12.1,958.0,3.1,27,3.2
0,A883,2020,6,30,0,12.6,100,12.6,959.6,3.7,92,2.8
0,A866,2020,6,30,0,17.1,83,14.3,1010.7,0.0,236,0.0
0,A812,2020,6,30,0,9.8,103,10.2,963.6,5.8,69,1.6
0,A826,2020,6,30,0,12.4,96,11.8,996.2,2.1,82,1.2
0,A820,2020,6,30,0,18.8,78,14.8,966.5,4.3,175,0.0
0,A882,2020,6,30,0,16.1,84,13.4,1004.3,2.5,265,5.4
0,A868,2020,6,30,0,17.1,92,15.9,1017.1,0.3,316,0.0
0,A899,2020,6,30,0,14.1,82,11.1,1015.6,9.2,70,0.0
0,A840,2020,6,30,0,11.9,95,11.1,942.4,7.0,46,7.4
0,A862,2020,6,30,0,12.3,99,12.2,920.1,0.3,101,0.0
0,A844,2020,6,30,0,11.3,96,10.7,918.9,3.1,106,9.2
0,A802,2020,6,30,0,13.7,88,11.8,1016.1,2.2,90,1.0
0,A817,2020,6,30,0,16.1,97,15.7,1009.2,1.0,79,1.0
0,A813,2020,6,30,0,11.2,96,10.5,1000.6,4.2,119,0.0
0,A895,2020,6,30,0,16.4,77,12.3,933.2,8.4,24,0.0
0,A852,2020,6,30,0,13.7,94,12.7,980.6,4.7,51,0.4
0,A859,2020,6,30,0,12.8,88,10.8,908.6,4.0,23,0.0
0,A804,2020,6,30,0,10.7,96,10.0,988.4,4.0,74,0.8
0,A864,2020,6,30,0,12.5,96,11.9,925.6,1.8,89,0.0
0,A819,2020,6,30,0,13.1,94,12.2,906.0,1.8,74,0.0
0,A803,2020,6,30,0,11.1,97,10.7,999.7,2.6,113,2.4
0,A880,2020,6,30,0,10.9,98,10.6,904.9,3.8,45,5.0
0,A861,2020,6,30,0,12.8,94,11.9,948.4,1.3,277,0.2
0,A851,2020,6,30,0,16.7,97,16.2,1018.0,0.0,243,0.8
0,A838,2020,6,30,0,12.3,100,12.2,1004.9,0.0,247,2.6
0,A869,2020,6,30,0,18.6,80,15.1,971.5,2.4,318,0.0
0,A810,2020,6,30,0,13.1,94,12.1,978.7,1.8,66,0.0
0,A874,2020,6,30,0,14.7,89,12.8,928.4,0.7,119,0.0
0,A832,2020,6,30,0,12.0,95,11.2,998.3,4.2,71,1.2
0,A845,2020,6,30,0,7.0,100,7.0,818.6,16.0,351,0.6
0,A805,2020,6,30,0,12.5,97,12.0,954.5,0.0,128,0.0
0,A831,2020,6,30,0,12.2,94,11.3,995.5,3.4,57,0.2
0,A842,2020,6,30,0,17.3,80,13.8,939.9,0.2,332,0.0
0,A887,2020,6,30,0,13.5,///,/////,1014.8,2.7,83,1.0
0,A825,2020,6,30,0,18.4,75,13.9,958.8,////,///,0.0
0,A865,2020,6,30,0,11.7,94,10.8,906.3,8.9,54,0.4
0,A843,2020,6,30,0,16.5,85,14.0,949.8,0.0,117,0.0
0,A850,2020,6,30,0,19.4,76,15.0,978.1,1.5,280,0.0
0,A867,2020,6,30,0,14.0,91,12.6,1016.7,1.2,251,0.0
