,est,ano,mes,dia,hora,temp,umid_inst,pto_orvalho_inst,pressao,vento_vel,vento_direcao,precipitacao
0,A873,2020,6,30,0,16.4,100,16.4,1012.0,0.0,218,0.0
0,A893,2020,6,30,0,10.5,94,9.5,965.7,1.8,123,0.8
0,A863,2020,6,30,0,13.7,92,12.4,961.4,1.2,285,0.0
0,A829,2020,6,30,0,9.5,95,8.8,877.0,////,///,1.0
0,A894,2020,6,30,0,12.6,96,12.0,957.4,1.0,72,15.4
0,B806,2020,6,30,0,12.8,97,12.3,911.5,1.4,54,0.0
0,A833,2020,6,30,0,12.2,97,11.6,964.2,4.4,60,2.2
0,A822,2020,6,30,0,16.3,76,12.1,940.3,0.0,100,0.0
0,A881,2020,6,30,0,11.4,92,10.2,993.9,4.6,95,1.0
0,A884,2020,6,30,0,13.2,///,/////,1013.4,0.4,59,4.6
0,A836,2020,6,30,0,12.2,97,11.8,1010.7,4.5,80,2.6
0,A849,2020,6,30,0,19.1,83,16.1,971.2,2.6,124,0.0
0,A898,2020,6,30,0,12.2,91,10.7,906.8,9.4,43,0.0
0,A815,2020,6,30,0,9.4,94,8.4,859.0,4.1,13,1.4
0,A807,2020,6,30,0,13.5,///,/////,913.7,2.9,42,0.0
0,A809,2020,6,30,0,13.8,102,14.1,1000.0,4.4,59,0.0
0,A837,2020,6,30,0,12.5,94,11.6,935.9,11.2,58,6.4
0,A876,2020,6,30,0,14.0,///,/////,904.5,7.8,286,0.0
0,A824,2020,6,30,0,19.3,73,14.4,977.2,5.7,180,0.0
0,A879,2020,6,30,0,11.3,94,10.4,920.6,6.3,11,9.6
0,A856,2020,6,30,0,11.6,100,11.6,940.5,1.7,94,0.0
0,A841,2020,6,30,0,14.9,83,12.1,925.2,5.7,44,0.0
0,A875,2020,6,30,0,12.9,96,12.3,902.4,0.8,330,0.0
0,A814,2020,6,30,0,15.4,89,13.5,1011.1,1.5,329,0.0
0,A823,2020,6,30,0,12.2,99,12.0,881.3,4.0,188,0.0
0,A801,2020,6,30,0,12.3,95,11.6,1008.5,1.5,90,3.6
0,A834,2020,6,30,0,15.0,///,/////,1015.9,0.0,23,2.8
0,A818,2020,6,30,0,16.5,82,13.3,925.4,0.3,87,0.0
0,A827,2020,6,30,0,11.0,93,9.9,985.9,4.7,100,0.0
0,A860,2020,6,30,0,11.5,94,10.5,903.5,7.8,54,0.0
0,A855,2020,6,30,0,17.2,82,14.0,965.6,3.4,207,0.0
0,A821,2020,6,30,0,18.5,74,13.9,957.0,5.1,217,0.0
0,A858,2020,6,30,0,15.3,82,12.2,912.5,5.1,1,0.0
0,A871,2020,6,30,0,16.6,80,13.0,937.3,4.1,275,0.0
